usd_cleaning_fee,f_room_type,f_property_type,f_room_type2,f_property_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type,d_elevator,d_familykidfriendly,d_freeparkingonpremises,d_gym,d_hottub,d_petsallowed,d_pool,d_privatebathroom,d_privateentrance,d_selfcheckin,d_smokingallowed,d_tv,d_wheelchairaccessible,d_24hourcheckin,d_airconditioning,d_bathtub,d_breakfast,d_cleaningbeforecheckout,d_coffeemaker,d_dishwasher,city
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Manchester
20,Private room,Condominium,Private,Loft,strict,Real Bed,Salford District,45,100,1,1,92.84275321768327,0,1,NA,0,2,1,NA,1,1,0,NA,NA,2,45,Salford District,strict,Private room,Condominium,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,Manchester
20,Private room,Apartment,Private,Apartment,moderate,Real Bed,City Centre,66,100,2,1,92.84275321768327,0,1,NA,10,2,1,NA,4,1,0,NA,NA,2,66,City Centre,moderate,Private room,Apartment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,1,2,NA,16,2,0,NA,NA,1,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Manchester
60,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Salford District,85,100,4,2,92.84275321768327,0,1,NA,0,2,2,NA,16,2,0,NA,NA,2,85,Salford District,flexible,Entire home/apt,Condominium,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,Manchester
10,Entire home/apt,Condominium,Entire/Apt,Loft,flexible,Real Bed,Rusholme,65,100,2,1,80,3,1,1.84,0,1,1,48,4,1,1,2304,110592,1,65,Rusholme,flexible,Entire home/apt,Condominium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester
0,Private room,Apartment,Private,Apartment,flexible,Real Bed,Sharston,26,100,1,1,95,4,1,3.16,0,2,1,37,1,1,1,1369,50653,2,26,Sharston,flexible,Private room,Apartment,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester
25,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,Tameside District,55,100,4,1,71,7,2,4.77,25,1,1,43,16,1,1,1849,79507,1,55,Tameside District,strict,Entire home/apt,Condominium,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,Manchester
20,Private room,Condominium,Private,Loft,strict,Real Bed,Salford District,26,100,1,1,100,3,1,1.84,0,1,1,48,1,1,1,2304,110592,1,26,Salford District,strict,Private room,Condominium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester
55,Entire home/apt,Condominium,Entire/Apt,Loft,moderate,Real Bed,Fallowfield,139,100,6,2,100,3,1,1.91,0,1,6,46,36,2,1,2116,97336,1,139,Fallowfield,moderate,Entire home/apt,Condominium,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Manchester
25,Entire home/apt,Condominium,Entire/Apt,Loft,strict,Real Bed,City Centre,97,100,4,1.5,97,6,4,3.67,50,2,2,48,16,1,1,2304,110592,2,97,City Centre,strict,Entire home/apt,Condominium,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,Manchester
15,Private room,Apartment,Private,Apartment,flexible,Real Bed,Ardwick,60,100,3,1,92.84275321768327,0,1,NA,0,1,3,NA,9,1,0,NA,NA,1,60,Ardwick,flexible,Private room,Apartment,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Manchester
0,Entire home/apt,Apartment,Entire/Apt,Apartment,flexible,Real Bed,Wigan District,60,100,4,1,92.84275321768327,0,1,NA,0,3,3,NA,16,1,0,NA,NA,3,60,Wigan District,flexible,Entire home/apt,Apartment,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Manchester
39,Entire home/apt,Apartment,Entire/Apt,Apartment,strict,Real Bed,Longsight,59,100,6,1,80,1,3,1,10,7,3,22,36,1,1,484,10648,3,59,Longsight,strict,Entire home/apt,Apartment,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Manchester
10,Private room,Serviced apartment,Private,Apartment,strict,Real Bed,Northenden,25,100,2,1.5,92.84275321768327,0,1,NA,0,1,1,NA,4,1,0,NA,NA,1,25,Northenden,strict,Private room,Serviced apartment,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Manchester
0,Private room,Condominium,Private,Loft,strict,Real Bed,Bradford,40,100,2,1.5,98,25,1,14.15,0,1,1,52,4,1,1,2704,140608,1,40,Bradford,strict,Private room,Condominium,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Manchester
